"Ac-No","Name","sTime","Verify Mode","Machine","formattedDate"
100209,100209,"23/04/2024 10:43 AM",FP/PW/RF/FACE,1,"23/04/2024 10:43:00"
202922,202922,"23/04/2024 11:19 AM",FP/PW/RF/FACE,1,"23/04/2024 11:19:00"
205883,205883,"23/04/2024 11:22 AM",FP/PW/RF/FACE,1,"23/04/2024 11:22:00"
198873,198873,"23/04/2024 11:29 AM",FP/PW/RF/FACE,1,"23/04/2024 11:29:00"
100199,100199,"23/04/2024 11:33 AM",FP/PW/RF/FACE,1,"23/04/2024 11:33:00"
205087,205087,"23/04/2024 11:37 AM",FP/PW/RF/FACE,1,"23/04/2024 11:37:00"
188852,188852,"23/04/2024 11:39 AM",FP/PW/RF/FACE,1,"23/04/2024 11:39:00"
100226,100226,"23/04/2024 11:46 AM",FP/PW/RF/FACE,1,"23/04/2024 11:46:00"
10168,10168,"23/04/2024 11:59 AM",FP/PW/RF/FACE,1,"23/04/2024 11:59:00"
199723,199723,"23/04/2024 12:34 PM",FP/PW/RF/FACE,1,"23/04/2024 12:34:00"
125679,125679,"23/04/2024 1:29 PM",FP/PW/RF/FACE,1,"23/04/2024 13:29:00"
10008,10008,"23/04/2024 1:52 PM",FP/PW/RF/FACE,1,"23/04/2024 13:52:00"
10009,10009,"23/04/2024 2:15 PM",FP/PW/RF/FACE,1,"23/04/2024 14:15:00"
187418,187418,"23/04/2024 2:31 PM",FP/PW/RF/FACE,1,"23/04/2024 14:31:00"
100214,100214,"23/04/2024 3:16 PM",FP/PW/RF/FACE,1,"23/04/2024 15:16:00"
140806,140806,"23/04/2024 3:42 PM",FP/PW/RF/FACE,1,"23/04/2024 15:42:00"
206598,206598,"23/04/2024 3:43 PM",FP/PW/RF/FACE,1,"23/04/2024 15:43:00"
100211,100211,"23/04/2024 3:58 PM",FP/PW/RF/FACE,1,"23/04/2024 15:58:00"
162890,162890,"23/04/2024 4:00 PM",FP/PW/RF/FACE,1,"23/04/2024 16:00:00"
202924,202924,"23/04/2024 4:56 PM",FP/PW/RF/FACE,1,"23/04/2024 16:56:00"
10060,10060,"23/04/2024 5:13 PM",FP/PW/RF/FACE,1,"23/04/2024 17:13:00"
103270,103270,"23/04/2024 5:20 PM",FP/PW/RF/FACE,1,"23/04/2024 17:20:00"
185266,185266,"23/04/2024 5:35 PM",FP/PW/RF/FACE,1,"23/04/2024 17:35:00"
100194,100194,"23/04/2024 6:08 PM",FP/PW/RF/FACE,1,"23/04/2024 18:08:00"
10147,10147,"23/04/2024 6:10 PM",FP/PW/RF/FACE,1,"23/04/2024 18:10:00"
114483,114483,"23/04/2024 6:13 PM",FP/PW/RF/FACE,1,"23/04/2024 18:13:00"
100224,100224,"23/04/2024 6:17 PM",FP/PW/RF/FACE,1,"23/04/2024 18:17:00"
100216,100216,"23/04/2024 6:17 PM",FP/PW/RF/FACE,1,"23/04/2024 18:17:00"
206550,206550,"23/04/2024 6:38 PM",FP/PW/RF/FACE,1,"23/04/2024 18:38:00"
144083,144083,"23/04/2024 6:52 PM",FP/PW/RF/FACE,1,"23/04/2024 18:52:00"
131835,131835,"23/04/2024 7:02 PM",FP/PW/RF/FACE,1,"23/04/2024 19:02:00"
206549,206549,"23/04/2024 7:05 PM",FP/PW/RF/FACE,1,"23/04/2024 19:05:00"
203478,203478,"23/04/2024 7:05 PM",FP/PW/RF/FACE,1,"23/04/2024 19:05:00"
202923,202923,"23/04/2024 7:06 PM",FP/PW/RF/FACE,1,"23/04/2024 19:06:00"
202918,202918,"23/04/2024 7:06 PM",FP/PW/RF/FACE,1,"23/04/2024 19:06:00"
202917,202917,"23/04/2024 7:06 PM",FP/PW/RF/FACE,1,"23/04/2024 19:06:00"
147448,147448,"23/04/2024 7:08 PM",FP/PW/RF/FACE,1,"23/04/2024 19:08:00"
145906,145906,"23/04/2024 7:15 PM",FP/PW/RF/FACE,1,"23/04/2024 19:15:00"
205086,205086,"23/04/2024 7:16 PM",FP/PW/RF/FACE,1,"23/04/2024 19:16:00"
190327,190327,"23/04/2024 7:23 PM",FP/PW/RF/FACE,1,"23/04/2024 19:23:00"
100213,100213,"23/04/2024 7:34 PM",FP/PW/RF/FACE,1,"23/04/2024 19:34:00"
10041,10041,"23/04/2024 7:36 PM",FP/PW/RF/FACE,1,"23/04/2024 19:36:00"
100225,100225,"23/04/2024 7:36 PM",FP/PW/RF/FACE,1,"23/04/2024 19:36:00"
10033,10033,"23/04/2024 7:44 PM",FP/PW/RF/FACE,1,"23/04/2024 19:44:00"
10160,10160,"23/04/2024 7:58 PM",FP/PW/RF/FACE,1,"23/04/2024 19:58:00"
100208,100208,"23/04/2024 8:05 PM",FP/PW/RF/FACE,1,"23/04/2024 20:05:00"
202447,202447,"23/04/2024 8:19 PM",FP/PW/RF/FACE,1,"23/04/2024 20:19:00"
158382,158382,"23/04/2024 8:19 PM",FP/PW/RF/FACE,1,"23/04/2024 20:19:00"
10187,10187,"23/04/2024 8:20 PM",FP/PW/RF/FACE,1,"23/04/2024 20:20:00"
10190,10190,"23/04/2024 8:21 PM",FP/PW/RF/FACE,1,"23/04/2024 20:21:00"
100211,100211,"24/04/2024 7:46 AM",FP/PW/RF/FACE,1,"24/04/2024 07:46:00"
202924,202924,"24/04/2024 7:46 AM",FP/PW/RF/FACE,1,"24/04/2024 07:46:00"
100223,100223,"24/04/2024 7:48 AM",FP/PW/RF/FACE,1,"24/04/2024 07:48:00"
10190,10190,"24/04/2024 7:48 AM",FP/PW/RF/FACE,1,"24/04/2024 07:48:00"
158382,158382,"24/04/2024 7:48 AM",FP/PW/RF/FACE,1,"24/04/2024 07:48:00"
100199,100199,"24/04/2024 7:50 AM",FP/PW/RF/FACE,1,"24/04/2024 07:50:00"
10160,10160,"24/04/2024 7:55 AM",FP/PW/RF/FACE,1,"24/04/2024 07:55:00"
100208,100208,"24/04/2024 7:56 AM",FP/PW/RF/FACE,1,"24/04/2024 07:56:00"
185266,185266,"24/04/2024 8:00 AM",FP/PW/RF/FACE,1,"24/04/2024 08:00:00"
206550,206550,"24/04/2024 8:00 AM",FP/PW/RF/FACE,1,"24/04/2024 08:00:00"
10187,10187,"24/04/2024 8:02 AM",FP/PW/RF/FACE,1,"24/04/2024 08:02:00"
206549,206549,"24/04/2024 8:02 AM",FP/PW/RF/FACE,1,"24/04/2024 08:02:00"
205087,205087,"24/04/2024 8:06 AM",FP/PW/RF/FACE,1,"24/04/2024 08:06:00"
206598,206598,"24/04/2024 8:07 AM",FP/PW/RF/FACE,1,"24/04/2024 08:07:00"
205883,205883,"24/04/2024 8:10 AM",FP/PW/RF/FACE,1,"24/04/2024 08:10:00"
205086,205086,"24/04/2024 8:10 AM",FP/PW/RF/FACE,1,"24/04/2024 08:10:00"
202917,202917,"24/04/2024 8:12 AM",FP/PW/RF/FACE,1,"24/04/2024 08:12:00"
202918,202918,"24/04/2024 8:12 AM",FP/PW/RF/FACE,1,"24/04/2024 08:12:00"
198032,198032,"24/04/2024 8:13 AM",FP/PW/RF/FACE,1,"24/04/2024 08:13:00"
