"Ac-No","Name","sTime","Verify Mode","Machine"
"140760","140760","27/01/2025 12:34 PM","FP/PW/RF/FACE","1"
"205087","205087","27/01/2025 12:42 PM","FP/PW/RF/FACE","1"
"199723","199723","27/01/2025 12:44 PM","FP/PW/RF/FACE","1"
"206257","206257","27/01/2025 12:59 PM","FP/PW/RF/FACE","1"
"207800","207800","27/01/2025 1:00 PM","FP/PW/RF/FACE","1"
"100226","100226","27/01/2025 1:57 PM","FP/PW/RF/FACE","1"
"203478","203478","27/01/2025 2:10 PM","FP/PW/RF/FACE","1"
"203478","203478","27/01/2025 2:39 PM","FP/PW/RF/FACE","1"
"100211","100211","27/01/2025 3:00 PM","FP/PW/RF/FACE","1"
"206257","206257","27/01/2025 3:01 PM","FP/PW/RF/FACE","1"
"100211","100211","27/01/2025 3:03 PM","FP/PW/RF/FACE","1"
"100211","100211","27/01/2025 3:03 PM","FP/PW/RF/FACE","1"
"210550","210550","27/01/2025 3:04 PM","FP/PW/RF/FACE","1"
"202921","202921","27/01/2025 3:10 PM","FP/PW/RF/FACE","1"
"100199","100199","27/01/2025 3:16 PM","FP/PW/RF/FACE","1"
"100211","100211","27/01/2025 3:18 PM","FP/PW/RF/FACE","1"
"206640","206640","27/01/2025 3:38 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 3:54 PM","FP/PW/RF/FACE","1"
"206257","206257","27/01/2025 4:09 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 4:18 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 4:19 PM","FP/PW/RF/FACE","1"
"206257","206257","27/01/2025 4:33 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 4:35 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 4:38 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 4:38 PM","FP/PW/RF/FACE","1"
"100223","100223","27/01/2025 4:40 PM","FP/PW/RF/FACE","1"
"206640","206640","27/01/2025 4:46 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 4:46 PM","FP/PW/RF/FACE","1"
"10190","10190","27/01/2025 4:47 PM","FP/PW/RF/FACE","1"
"145906","145906","27/01/2025 5:00 PM","FP/PW/RF/FACE","1"
"206257","206257","27/01/2025 5:00 PM","FP/PW/RF/FACE","1"
"145906","145906","27/01/2025 5:00 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:18 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:20 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:21 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:23 PM","FP/PW/RF/FACE","1"
"202924","202924","27/01/2025 5:36 PM","FP/PW/RF/FACE","1"
"208403","208403","27/01/2025 5:36 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:40 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:42 PM","FP/PW/RF/FACE","1"
"100214","100214","27/01/2025 5:44 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:46 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:47 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:47 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:48 PM","FP/PW/RF/FACE","1"
"100211","100211","27/01/2025 5:48 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:49 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:51 PM","FP/PW/RF/FACE","1"
"10130","10130","27/01/2025 5:52 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 5:53 PM","FP/PW/RF/FACE","1"
"10009","10009","27/01/2025 5:57 PM","FP/PW/RF/FACE","1"
"114483","114483","27/01/2025 5:58 PM","FP/PW/RF/FACE","1"
"207800","207800","27/01/2025 5:59 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:00 PM","FP/PW/RF/FACE","1"
"202923","202923","27/01/2025 6:02 PM","FP/PW/RF/FACE","1"
"100216","100216","27/01/2025 6:02 PM","FP/PW/RF/FACE","1"
"100201","100201","27/01/2025 6:02 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:02 PM","FP/PW/RF/FACE","1"
"100216","100216","27/01/2025 6:04 PM","FP/PW/RF/FACE","1"
"203478","203478","27/01/2025 6:06 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:07 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:08 PM","FP/PW/RF/FACE","1"
"100235","100235","27/01/2025 6:10 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:12 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:14 PM","FP/PW/RF/FACE","1"
"100226","100226","27/01/2025 6:17 PM","FP/PW/RF/FACE","1"
"100226","100226","27/01/2025 6:17 PM","FP/PW/RF/FACE","1"
"185266","185266","27/01/2025 6:18 PM","FP/PW/RF/FACE","1"
"100223","100223","27/01/2025 6:21 PM","FP/PW/RF/FACE","1"
"198873","198873","27/01/2025 6:21 PM","FP/PW/RF/FACE","1"
"10147","10147","27/01/2025 6:22 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:23 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:24 PM","FP/PW/RF/FACE","1"
"162890","162890","27/01/2025 6:26 PM","FP/PW/RF/FACE","1"
"198873","198873","27/01/2025 6:26 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:33 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 6:34 PM","FP/PW/RF/FACE","1"
"205085","205085","27/01/2025 6:41 PM","FP/PW/RF/FACE","1"
"123688","123688","27/01/2025 6:45 PM","FP/PW/RF/FACE","1"
"187418","187418","27/01/2025 6:47 PM","FP/PW/RF/FACE","1"
"100225","100225","27/01/2025 6:53 PM","FP/PW/RF/FACE","1"
"202447","202447","27/01/2025 6:58 PM","FP/PW/RF/FACE","1"
"144083","144083","27/01/2025 6:58 PM","FP/PW/RF/FACE","1"
"125679","125679","27/01/2025 6:59 PM","FP/PW/RF/FACE","1"
"205086","205086","27/01/2025 7:00 PM","FP/PW/RF/FACE","1"
"210942","210942","27/01/2025 7:01 PM","FP/PW/RF/FACE","1"
"207386","207386","27/01/2025 7:02 PM","FP/PW/RF/FACE","1"
"10190","10190","27/01/2025 7:10 PM","FP/PW/RF/FACE","1"
"210550","210550","27/01/2025 7:17 PM","FP/PW/RF/FACE","1"
"10187","10187","27/01/2025 7:19 PM","FP/PW/RF/FACE","1"
"10187","10187","27/01/2025 7:19 PM","FP/PW/RF/FACE","1"
"205883","205883","27/01/2025 7:20 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 7:30 PM","FP/PW/RF/FACE","1"
"10008","10008","27/01/2025 7:30 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 7:32 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 7:53 PM","FP/PW/RF/FACE","1"
"147448","147448","27/01/2025 7:53 PM","FP/PW/RF/FACE","1"
"209544","209544","27/01/2025 7:53 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 7:53 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 7:54 PM","FP/PW/RF/FACE","1"
"100211","100211","28/01/2025 7:21 AM","FP/PW/RF/FACE","1"
"100211","100211","28/01/2025 7:21 AM","FP/PW/RF/FACE","1"
"100223","100223","28/01/2025 7:23 AM","FP/PW/RF/FACE","1"
"10187","10187","28/01/2025 7:28 AM","FP/PW/RF/FACE","1"
"10187","10187","28/01/2025 7:28 AM","FP/PW/RF/FACE","1"
"100199","100199","28/01/2025 7:37 AM","FP/PW/RF/FACE","1"
"10190","10190","28/01/2025 7:42 AM","FP/PW/RF/FACE","1"
"100208","100208","28/01/2025 7:47 AM","FP/PW/RF/FACE","1"
"100208","100208","28/01/2025 7:47 AM","FP/PW/RF/FACE","1"
