"Ac-No","Name","sTime","Verify Mode","Machine"
"20019","20019","23/04/2024 10:50 AM","FP/PW/RF/FACE","2"
"20014","20014","23/04/2024 10:55 AM","FP/PW/RF/FACE","2"
"20022","20022","23/04/2024 11:02 AM","FP/PW/RF/FACE","2"
"20017","20017","23/04/2024 11:20 AM","FP/PW/RF/FACE","2"
"20005","20005","23/04/2024 11:23 AM","FP/PW/RF/FACE","2"
"20007","20007","23/04/2024 11:35 AM","FP/PW/RF/FACE","2"
"20012","20012","23/04/2024 1:03 PM","FP/PW/RF/FACE","2"
"20016","20016","23/04/2024 1:03 PM","FP/PW/RF/FACE","2"
"20019","20019","23/04/2024 1:15 PM","FP/PW/RF/FACE","2"
"20022","20022","23/04/2024 2:13 PM","FP/PW/RF/FACE","2"
"20006","20006","23/04/2024 2:42 PM","FP/PW/RF/FACE","2"
"100217","100217","23/04/2024 2:42 PM","FP/PW/RF/FACE","2"
"20017","20017","23/04/2024 4:22 PM","FP/PW/RF/FACE","2"
"20014","20014","23/04/2024 4:48 PM","FP/PW/RF/FACE","2"
"140806","140806","23/04/2024 6:07 PM","FP/PW/RF/FACE","2"
"140806","140806","23/04/2024 6:07 PM","FP/PW/RF/FACE","2"
"20020","20020","23/04/2024 6:10 PM","FP/PW/RF/FACE","2"
"100223","100223","23/04/2024 6:47 PM","FP/PW/RF/FACE","2"
"20007","20007","23/04/2024 7:47 PM","FP/PW/RF/FACE","2"
"100199","100199","23/04/2024 7:49 PM","FP/PW/RF/FACE","2"
"100227","100227","23/04/2024 8:24 PM","FP/PW/RF/FACE","2"
"100227","100227","23/04/2024 8:24 PM","FP/PW/RF/FACE","2"
"187338","187338","24/04/2024 7:57 AM","FP/PW/RF/FACE","2"
"187338","187338","24/04/2024 8:00 AM","FP/PW/RF/FACE","2"
"100227","100227","24/04/2024 8:01 AM","FP/PW/RF/FACE","2"
"20007","20007","24/04/2024 8:22 AM","FP/PW/RF/FACE","2"
"10152","10152","24/04/2024 8:41 AM","FP/PW/RF/FACE","2"
"20008","20008","24/04/2024 8:45 AM","FP/PW/RF/FACE","2"
"20012","20012","24/04/2024 8:49 AM","FP/PW/RF/FACE","2"
"20013","20013","24/04/2024 8:55 AM","FP/PW/RF/FACE","2"
"101492","101492","24/04/2024 8:58 AM","FP/PW/RF/FACE","2"
"20004","20004","24/04/2024 9:03 AM","FP/PW/RF/FACE","2"
"20016","20016","24/04/2024 9:03 AM","FP/PW/RF/FACE","2"
"20020","20020","24/04/2024 9:10 AM","FP/PW/RF/FACE","2"
"20006","20006","24/04/2024 9:11 AM","FP/PW/RF/FACE","2"
"100205","100205","24/04/2024 9:22 AM","FP/PW/RF/FACE","2"
"100217","100217","24/04/2024 9:38 AM","FP/PW/RF/FACE","2"
"20013","20013","24/04/2024 10:15 AM","FP/PW/RF/FACE","2"
"20014","20014","24/04/2024 10:35 AM","FP/PW/RF/FACE","2"
"20019","20019","24/04/2024 11:05 AM","FP/PW/RF/FACE","2"
"20005","20005","24/04/2024 11:29 AM","FP/PW/RF/FACE","2"
"20022","20022","24/04/2024 11:31 AM","FP/PW/RF/FACE","2"
"20017","20017","24/04/2024 11:50 AM","FP/PW/RF/FACE","2"
"10168","10168","24/04/2024 1:46 PM","FP/PW/RF/FACE","2"
"100217","100217","24/04/2024 2:24 PM","FP/PW/RF/FACE","2"
"20019","20019","24/04/2024 3:06 PM","FP/PW/RF/FACE","2"
"20006","20006","24/04/2024 3:33 PM","FP/PW/RF/FACE","2"
"101492","101492","24/04/2024 6:05 PM","FP/PW/RF/FACE","2"
"20020","20020","24/04/2024 6:15 PM","FP/PW/RF/FACE","2"
"10152","10152","24/04/2024 6:49 PM","FP/PW/RF/FACE","2"
"20022","20022","24/04/2024 7:02 PM","FP/PW/RF/FACE","2"
"20007","20007","24/04/2024 7:02 PM","FP/PW/RF/FACE","2"
"20017","20017","24/04/2024 7:02 PM","FP/PW/RF/FACE","2"
"10060","10060","24/04/2024 7:18 PM","FP/PW/RF/FACE","2"
"100223","100223","24/04/2024 7:20 PM","FP/PW/RF/FACE","2"
"100227","100227","24/04/2024 9:03 PM","FP/PW/RF/FACE","2"
"187338","187338","25/04/2024 8:01 AM","FP/PW/RF/FACE","2"
"187338","187338","25/04/2024 8:01 AM","FP/PW/RF/FACE","2"
"100227","100227","25/04/2024 8:06 AM","FP/PW/RF/FACE","2"
"20012","20012","25/04/2024 8:33 AM","FP/PW/RF/FACE","2"
"20012","20012","25/04/2024 8:33 AM","FP/PW/RF/FACE","2"
"20007","20007","25/04/2024 8:40 AM","FP/PW/RF/FACE","2"
"20016","20016","25/04/2024 8:45 AM","FP/PW/RF/FACE","2"
"162890","162890","25/04/2024 8:51 AM","FP/PW/RF/FACE","2"
"20013","20013","25/04/2024 8:58 AM","FP/PW/RF/FACE","2"
"10152","10152","25/04/2024 9:01 AM","FP/PW/RF/FACE","2"
"101492","101492","25/04/2024 9:03 AM","FP/PW/RF/FACE","2"
"20020","20020","25/04/2024 9:04 AM","FP/PW/RF/FACE","2"
"20004","20004","25/04/2024 9:06 AM","FP/PW/RF/FACE","2"
"20004","20004","25/04/2024 9:06 AM","FP/PW/RF/FACE","2"
"20006","20006","25/04/2024 9:10 AM","FP/PW/RF/FACE","2"
"100217","100217","25/04/2024 9:11 AM","FP/PW/RF/FACE","2"
"100205","100205","25/04/2024 9:19 AM","FP/PW/RF/FACE","2"
"20008","20008","25/04/2024 9:23 AM","FP/PW/RF/FACE","2"
"20014","20014","25/04/2024 9:37 AM","FP/PW/RF/FACE","2"
"20014","20014","25/04/2024 9:37 AM","FP/PW/RF/FACE","2"
"20013","20013","25/04/2024 10:17 AM","FP/PW/RF/FACE","2"
"20019","20019","25/04/2024 11:02 AM","FP/PW/RF/FACE","2"
"20022","20022","25/04/2024 11:19 AM","FP/PW/RF/FACE","2"
"10168","10168","25/04/2024 11:20 AM","FP/PW/RF/FACE","2"
"20005","20005","25/04/2024 11:41 AM","FP/PW/RF/FACE","2"
"20017","20017","25/04/2024 12:07 PM","FP/PW/RF/FACE","2"
"20019","20019","25/04/2024 12:18 PM","FP/PW/RF/FACE","2"
"20007","20007","25/04/2024 3:47 PM","FP/PW/RF/FACE","2"
"20006","20006","25/04/2024 4:22 PM","FP/PW/RF/FACE","2"
"100217","100217","25/04/2024 5:18 PM","FP/PW/RF/FACE","2"
"20014","20014","25/04/2024 5:56 PM","FP/PW/RF/FACE","2"
"20020","20020","25/04/2024 5:56 PM","FP/PW/RF/FACE","2"
"101492","101492","25/04/2024 6:09 PM","FP/PW/RF/FACE","2"
"10168","10168","25/04/2024 6:48 PM","FP/PW/RF/FACE","2"
"10152","10152","25/04/2024 6:48 PM","FP/PW/RF/FACE","2"
"20017","20017","25/04/2024 7:34 PM","FP/PW/RF/FACE","2"
"20022","20022","25/04/2024 7:34 PM","FP/PW/RF/FACE","2"
"162890","162890","27/04/2024 8:21 AM","FP/PW/RF/FACE","2"
"162890","162890","27/04/2024 8:21 AM","FP/PW/RF/FACE","2"
"10152","10152","27/04/2024 8:31 AM","FP/PW/RF/FACE","2"
"100217","100217","27/04/2024 8:37 AM","FP/PW/RF/FACE","2"
"20008","20008","27/04/2024 8:39 AM","FP/PW/RF/FACE","2"
"20008","20008","27/04/2024 8:39 AM","FP/PW/RF/FACE","2"
"20012","20012","27/04/2024 8:40 AM","FP/PW/RF/FACE","2"
"20012","20012","27/04/2024 8:40 AM","FP/PW/RF/FACE","2"
"20016","20016","27/04/2024 8:42 AM","FP/PW/RF/FACE","2"
"20004","20004","27/04/2024 8:49 AM","FP/PW/RF/FACE","2"
"20013","20013","27/04/2024 8:50 AM","FP/PW/RF/FACE","2"
"20006","20006","27/04/2024 8:54 AM","FP/PW/RF/FACE","2"
"20020","20020","27/04/2024 8:57 AM","FP/PW/RF/FACE","2"
"100205","100205","27/04/2024 8:58 AM","FP/PW/RF/FACE","2"
"20007","20007","27/04/2024 9:03 AM","FP/PW/RF/FACE","2"
"20007","20007","27/04/2024 9:03 AM","FP/PW/RF/FACE","2"
"20012","20012","27/04/2024 9:47 AM","FP/PW/RF/FACE","2"
"20014","20014","27/04/2024 10:03 AM","FP/PW/RF/FACE","2"
"20013","20013","27/04/2024 10:13 AM","FP/PW/RF/FACE","2"
"20019","20019","27/04/2024 10:44 AM","FP/PW/RF/FACE","2"
"20022","20022","27/04/2024 11:04 AM","FP/PW/RF/FACE","2"
"20017","20017","27/04/2024 11:32 AM","FP/PW/RF/FACE","2"
"20005","20005","27/04/2024 11:46 AM","FP/PW/RF/FACE","2"
"20005","20005","27/04/2024 11:47 AM","FP/PW/RF/FACE","2"
"20019","20019","27/04/2024 11:57 AM","FP/PW/RF/FACE","2"
"108781","108781","27/04/2024 12:40 PM","FP/PW/RF/FACE","2"
"108781","108781","27/04/2024 12:40 PM","FP/PW/RF/FACE","2"
"20007","20007","27/04/2024 1:32 PM","FP/PW/RF/FACE","2"
"100217","100217","27/04/2024 4:08 PM","FP/PW/RF/FACE","2"
"100223","100223","27/04/2024 5:59 PM","FP/PW/RF/FACE","2"
"10175","10175","27/04/2024 6:09 PM","FP/PW/RF/FACE","2"
"100205","100205","27/04/2024 6:21 PM","FP/PW/RF/FACE","2"
"20014","20014","27/04/2024 6:23 PM","FP/PW/RF/FACE","2"
"20017","20017","27/04/2024 6:24 PM","FP/PW/RF/FACE","2"
"187338","187338","27/04/2024 6:29 PM","FP/PW/RF/FACE","2"
"20020","20020","27/04/2024 6:48 PM","FP/PW/RF/FACE","2"
"100227","100227","27/04/2024 8:10 PM","FP/PW/RF/FACE","2"
"100199","100199","27/04/2024 8:12 PM","FP/PW/RF/FACE","2"
"100227","100227","28/04/2024 8:01 AM","FP/PW/RF/FACE","2"
"20012","20012","28/04/2024 8:32 AM","FP/PW/RF/FACE","2"
"20012","20012","28/04/2024 8:32 AM","FP/PW/RF/FACE","2"
"20008","20008","28/04/2024 8:36 AM","FP/PW/RF/FACE","2"
"20016","20016","28/04/2024 8:39 AM","FP/PW/RF/FACE","2"
"100217","100217","28/04/2024 8:45 AM","FP/PW/RF/FACE","2"
"100205","100205","28/04/2024 8:45 AM","FP/PW/RF/FACE","2"
"20004","20004","28/04/2024 8:53 AM","FP/PW/RF/FACE","2"
"20006","20006","28/04/2024 8:55 AM","FP/PW/RF/FACE","2"
"20020","20020","28/04/2024 8:57 AM","FP/PW/RF/FACE","2"
"20013","20013","28/04/2024 8:57 AM","FP/PW/RF/FACE","2"
"101492","101492","28/04/2024 8:57 AM","FP/PW/RF/FACE","2"
"20007","20007","28/04/2024 8:58 AM","FP/PW/RF/FACE","2"
"20014","20014","28/04/2024 10:11 AM","FP/PW/RF/FACE","2"
"20013","20013","28/04/2024 10:38 AM","FP/PW/RF/FACE","2"
"20019","20019","28/04/2024 11:02 AM","FP/PW/RF/FACE","2"
"20022","20022","28/04/2024 11:05 AM","FP/PW/RF/FACE","2"
"20017","20017","28/04/2024 11:12 AM","FP/PW/RF/FACE","2"
"20016","20016","28/04/2024 11:55 AM","FP/PW/RF/FACE","2"
"20005","20005","28/04/2024 12:18 PM","FP/PW/RF/FACE","2"
"20019","20019","28/04/2024 12:50 PM","FP/PW/RF/FACE","2"
"20019","20019","28/04/2024 12:50 PM","FP/PW/RF/FACE","2"
"20006","20006","28/04/2024 3:42 PM","FP/PW/RF/FACE","2"
"20006","20006","28/04/2024 3:42 PM","FP/PW/RF/FACE","2"
"20007","20007","28/04/2024 3:42 PM","FP/PW/RF/FACE","2"
"100217","100217","28/04/2024 3:42 PM","FP/PW/RF/FACE","2"
"20005","20005","28/04/2024 4:41 PM","FP/PW/RF/FACE","2"
"20017","20017","28/04/2024 4:58 PM","FP/PW/RF/FACE","2"
"20022","20022","28/04/2024 5:16 PM","FP/PW/RF/FACE","2"
"20014","20014","28/04/2024 5:24 PM","FP/PW/RF/FACE","2"
"10152","10152","28/04/2024 5:30 PM","FP/PW/RF/FACE","2"
"187338","187338","28/04/2024 6:16 PM","FP/PW/RF/FACE","2"
"187338","187338","28/04/2024 6:16 PM","FP/PW/RF/FACE","2"
"100227","100227","28/04/2024 8:02 PM","FP/PW/RF/FACE","2"
"100227","100227","29/04/2024 8:03 AM","FP/PW/RF/FACE","2"
"100205","100205","29/04/2024 8:33 AM","FP/PW/RF/FACE","2"
"20016","20016","29/04/2024 8:34 AM","FP/PW/RF/FACE","2"
"20012","20012","29/04/2024 8:40 AM","FP/PW/RF/FACE","2"
"20012","20012","29/04/2024 8:41 AM","FP/PW/RF/FACE","2"
"20016","20016","29/04/2024 8:42 AM","FP/PW/RF/FACE","2"
"20007","20007","29/04/2024 8:53 AM","FP/PW/RF/FACE","2"
"100217","100217","29/04/2024 8:53 AM","FP/PW/RF/FACE","2"
"101492","101492","29/04/2024 8:53 AM","FP/PW/RF/FACE","2"
"20004","20004","29/04/2024 8:53 AM","FP/PW/RF/FACE","2"
"20004","20004","29/04/2024 8:53 AM","FP/PW/RF/FACE","2"
"20006","20006","29/04/2024 8:53 AM","FP/PW/RF/FACE","2"
"20008","20008","29/04/2024 8:55 AM","FP/PW/RF/FACE","2"
"20020","20020","29/04/2024 8:57 AM","FP/PW/RF/FACE","2"
"20013","20013","29/04/2024 9:04 AM","FP/PW/RF/FACE","2"
"20014","20014","29/04/2024 10:01 AM","FP/PW/RF/FACE","2"
"20013","20013","29/04/2024 10:07 AM","FP/PW/RF/FACE","2"
"20013","20013","29/04/2024 10:07 AM","FP/PW/RF/FACE","2"
"20019","20019","29/04/2024 10:50 AM","FP/PW/RF/FACE","2"
"20022","20022","29/04/2024 10:57 AM","FP/PW/RF/FACE","2"
"20005","20005","29/04/2024 12:02 PM","FP/PW/RF/FACE","2"
"20005","20005","29/04/2024 12:02 PM","FP/PW/RF/FACE","2"
"20005","20005","29/04/2024 12:02 PM","FP/PW/RF/FACE","2"
"20017","20017","29/04/2024 12:06 PM","FP/PW/RF/FACE","2"
"20019","20019","29/04/2024 12:56 PM","FP/PW/RF/FACE","2"
"20014","20014","29/04/2024 3:02 PM","FP/PW/RF/FACE","2"
"20007","20007","29/04/2024 3:39 PM","FP/PW/RF/FACE","2"
"20016","20016","29/04/2024 4:16 PM","FP/PW/RF/FACE","2"
"187338","187338","29/04/2024 5:54 PM","FP/PW/RF/FACE","2"
"187338","187338","29/04/2024 5:54 PM","FP/PW/RF/FACE","2"
"140806","140806","29/04/2024 6:01 PM","FP/PW/RF/FACE","2"
"101492","101492","29/04/2024 6:02 PM","FP/PW/RF/FACE","2"
"162890","162890","29/04/2024 6:09 PM","FP/PW/RF/FACE","2"
"20017","20017","29/04/2024 6:30 PM","FP/PW/RF/FACE","2"
"20022","20022","29/04/2024 6:30 PM","FP/PW/RF/FACE","2"
"20020","20020","29/04/2024 6:48 PM","FP/PW/RF/FACE","2"
"20020","20020","29/04/2024 6:48 PM","FP/PW/RF/FACE","2"
"100223","100223","29/04/2024 6:49 PM","FP/PW/RF/FACE","2"
"10152","10152","29/04/2024 7:24 PM","FP/PW/RF/FACE","2"
"100227","100227","29/04/2024 8:04 PM","FP/PW/RF/FACE","2"
"100227","100227","30/04/2024 8:02 AM","FP/PW/RF/FACE","2"
"100199","100199","30/04/2024 8:22 AM","FP/PW/RF/FACE","2"
"100205","100205","30/04/2024 8:36 AM","FP/PW/RF/FACE","2"
"20016","20016","30/04/2024 8:40 AM","FP/PW/RF/FACE","2"
"20012","20012","30/04/2024 8:48 AM","FP/PW/RF/FACE","2"
"20012","20012","30/04/2024 8:48 AM","FP/PW/RF/FACE","2"
"162890","162890","30/04/2024 8:49 AM","FP/PW/RF/FACE","2"
"20013","20013","30/04/2024 8:50 AM","FP/PW/RF/FACE","2"
"20004","20004","30/04/2024 8:55 AM","FP/PW/RF/FACE","2"
"20006","20006","30/04/2024 8:55 AM","FP/PW/RF/FACE","2"
"100217","100217","30/04/2024 8:56 AM","FP/PW/RF/FACE","2"
"20020","20020","30/04/2024 8:56 AM","FP/PW/RF/FACE","2"
"20007","20007","30/04/2024 8:56 AM","FP/PW/RF/FACE","2"
"20007","20007","30/04/2024 8:57 AM","FP/PW/RF/FACE","2"
"101492","101492","30/04/2024 8:59 AM","FP/PW/RF/FACE","2"
"20008","20008","30/04/2024 9:17 AM","FP/PW/RF/FACE","2"
"20014","20014","30/04/2024 10:10 AM","FP/PW/RF/FACE","2"
"20022","20022","30/04/2024 10:28 AM","FP/PW/RF/FACE","2"
"20019","20019","30/04/2024 10:41 AM","FP/PW/RF/FACE","2"
"20013","20013","30/04/2024 11:25 AM","FP/PW/RF/FACE","2"
"20017","20017","30/04/2024 11:57 AM","FP/PW/RF/FACE","2"
"20005","20005","30/04/2024 12:06 PM","FP/PW/RF/FACE","2"
"20019","20019","30/04/2024 12:18 PM","FP/PW/RF/FACE","2"
"20007","20007","30/04/2024 2:24 PM","FP/PW/RF/FACE","2"
"20006","20006","30/04/2024 2:24 PM","FP/PW/RF/FACE","2"
"20022","20022","30/04/2024 3:15 PM","FP/PW/RF/FACE","2"
"20022","20022","30/04/2024 3:42 PM","FP/PW/RF/FACE","2"
"100217","100217","30/04/2024 4:09 PM","FP/PW/RF/FACE","2"
"20016","20016","30/04/2024 4:41 PM","FP/PW/RF/FACE","2"
"20017","20017","30/04/2024 5:38 PM","FP/PW/RF/FACE","2"
"101492","101492","30/04/2024 6:00 PM","FP/PW/RF/FACE","2"
"20020","20020","30/04/2024 6:00 PM","FP/PW/RF/FACE","2"
"187338","187338","30/04/2024 6:18 PM","FP/PW/RF/FACE","2"
"187338","187338","30/04/2024 6:18 PM","FP/PW/RF/FACE","2"
"100227","100227","30/04/2024 8:08 PM","FP/PW/RF/FACE","2"
"100227","100227","01/05/2024 8:03 AM","FP/PW/RF/FACE","2"
"10175","10175","01/05/2024 8:49 AM","FP/PW/RF/FACE","2"
"100227","100227","01/05/2024 8:05 PM","FP/PW/RF/FACE","2"
"100227","100227","02/05/2024 8:03 AM","FP/PW/RF/FACE","2"
"100227","100227","02/05/2024 8:04 AM","FP/PW/RF/FACE","2"
"10175","10175","02/05/2024 8:11 AM","FP/PW/RF/FACE","2"
